/Users/gexin/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2026-03-02 09:18:23,927 - __main__ - INFO -   - 检查 TSLA 的舆情...
2026-03-02 09:18:23,928 - __main__ - INFO -   - 检查 GOOGL 的舆情...
2026-03-02 09:18:23,928 - __main__ - INFO -   - 检查 NVDA 的舆情...
2026-03-02 09:18:23,928 - __main__ - INFO -   - 检查 300750.SZ 的舆情...
2026-03-02 09:18:23,928 - __main__ - INFO - 本轮检查完成，300秒后继续...
2026-03-02 09:23:24,076 - __main__ - INFO - [2026-03-02 09:23:24] 开始舆情数据采集...
2026-03-02 09:23:24,078 - __main__ - INFO -   - 检查 600519.SS 的舆情...
2026-03-02 09:23:24,078 - __main__ - INFO -   - 检查 AAPL 的舆情...
2026-03-02 09:23:24,078 - __main__ - INFO -   - 检查 MSFT 的舆情...
2026-03-02 09:23:24,078 - __main__ - INFO -   - 检查 000001.SZ 的舆情...
2026-03-02 09:23:24,079 - __main__ - INFO -   - 检查 TSLA 的舆情...
2026-03-02 09:23:24,079 - __main__ - INFO -   - 检查 GOOGL 的舆情...
2026-03-02 09:23:24,079 - __main__ - INFO -   - 检查 NVDA 的舆情...
2026-03-02 09:23:24,079 - __main__ - INFO -   - 检查 300750.SZ 的舆情...
2026-03-02 09:23:24,079 - __main__ - INFO - 本轮检查完成，300秒后继续...
2026-03-02 09:28:24,214 - __main__ - INFO - [2026-03-02 09:28:24] 开始舆情数据采集...
2026-03-02 09:28:24,216 - __main__ - INFO -   - 检查 600519.SS 的舆情...
2026-03-02 09:28:24,216 - __main__ - INFO -   - 检查 AAPL 的舆情...
2026-03-02 09:28:24,216 - __main__ - INFO -   - 检查 MSFT 的舆情...
2026-03-02 09:28:24,216 - __main__ - INFO -   - 检查 000001.SZ 的舆情...
2026-03-02 09:28:24,216 - __main__ - INFO -   - 检查 TSLA 的舆情...
2026-03-02 09:28:24,216 - __main__ - INFO -   - 检查 GOOGL 的舆情...
2026-03-02 09:28:24,216 - __main__ - INFO -   - 检查 NVDA 的舆情...
2026-03-02 09:28:24,216 - __main__ - INFO -   - 检查 300750.SZ 的舆情...
2026-03-02 09:28:24,216 - __main__ - INFO - 本轮检查完成，300秒后继续...
2026-03-02 09:33:24,264 - __main__ - INFO - [2026-03-02 09:33:24] 开始舆情数据采集...
2026-03-02 09:33:24,265 - __main__ - INFO -   - 检查 600519.SS 的舆情...
2026-03-02 09:33:24,265 - __main__ - INFO -   - 检查 AAPL 的舆情...
2026-03-02 09:33:24,265 - __main__ - INFO -   - 检查 MSFT 的舆情...
2026-03-02 09:33:24,266 - __main__ - INFO -   - 检查 000001.SZ 的舆情...
2026-03-02 09:33:24,266 - __main__ - INFO -   - 检查 TSLA 的舆情...
2026-03-02 09:33:24,266 - __main__ - INFO -   - 检查 GOOGL 的舆情...
2026-03-02 09:33:24,266 - __main__ - INFO -   - 检查 NVDA 的舆情...
2026-03-02 09:33:24,266 - __main__ - INFO -   - 检查 300750.SZ 的舆情...
2026-03-02 09:33:24,266 - __main__ - INFO - 本轮检查完成，300秒后继续...
2026-03-02 09:38:24,307 - __main__ - INFO - [2026-03-02 09:38:24] 开始舆情数据采集...
2026-03-02 09:38:24,309 - __main__ - INFO -   - 检查 600519.SS 的舆情...
2026-03-02 09:38:24,309 - __main__ - INFO -   - 检查 AAPL 的舆情...
2026-03-02 09:38:24,309 - __main__ - INFO -   - 检查 MSFT 的舆情...
2026-03-02 09:38:24,309 - __main__ - INFO -   - 检查 000001.SZ 的舆情...
2026-03-02 09:38:24,309 - __main__ - INFO -   - 检查 TSLA 的舆情...
2026-03-02 09:38:24,309 - __main__ - INFO -   - 检查 GOOGL 的舆情...
2026-03-02 09:38:24,309 - __main__ - INFO -   - 检查 NVDA 的舆情...
2026-03-02 09:38:24,309 - __main__ - INFO -   - 检查 300750.SZ 的舆情...
2026-03-02 09:38:24,309 - __main__ - INFO - 本轮检查完成，300秒后继续...
2026-03-02 09:43:24,373 - __main__ - INFO - [2026-03-02 09:43:24] 开始舆情数据采集...
